id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,prediction_prob,prediction_class
39173,Fresno europeo,25/11/2010 12:20,Alto (> 8 mts),180.0,Grande,-68.853594217,-32.8724606128,6,Residencial Norte,2694682.37982,0,0.3182507333928204,0
9748,Conifera,19/01/2011 10:39,Alto (> 8 mts),50.0,Mediano,-68.8468369145,-32.8643468246,4,Cuarta Oeste,1173332.70145,0,0.9139891762325674,1
38499,Fresno europeo,02/11/2010 10:27,Bajo (2 - 4 mts),30.0,Mediano,-68.8502676132,-32.8697191311,6,Residencial Norte,2694682.37982,0,0.5607575686657953,1
47518,Morera,29/08/2011 13:44,Medio (4 - 8 mts),96.0,Grande,-68.8262308715,-32.8711205728,4,Cuarta Este Área Fundacional,1822015.85685,0,0.5462046462725856,1
23247,Morera,27/01/2012 13:03,Medio (4 - 8 mts),90.0,Grande,-68.8526909335,-32.9016300135,2,Barrio Civico,2366816.36021,0,0.6019486465124033,1
36993,Morera,01/04/2011 11:55,Alto (> 8 mts),72.0,Grande,-68.8575715677,-32.8779365029,7,Residencial Parque,1786336.08966,1,0.8771748674949875,1
9038,Morera,11/01/2011 09:00,Alto (> 8 mts),195.0,Grande,-68.8446569493,-32.8670319545,4,Cuarta Oeste,1173332.70145,0,0.5137101962037924,1
26253,Fresno europeo,18/10/2011 11:36,Medio (4 - 8 mts),110.0,Grande,-68.8312505049,-32.8877758656,3,Parque O'Higgins,1531146.02653,0,0.5043781859788585,1
22096,Fresno europeo,10/06/2011 10:48,Alto (> 8 mts),108.0,Grande,-68.854186481,-32.8982459195,5,Residencial Sur,2423808.92355,0,0.8725093375676259,1
41126,Pltano,27/04/2011 10:09,Alto (> 8 mts),148.0,Grande,-68.8401307143,-32.8834718603,1,Parque Central,1655357.93265,0,0.3971343250623949,0
4911,Morera,20/07/2011 10:27,Medio (4 - 8 mts),90.0,Grande,-68.8431462347,-32.8658651094,4,Cuarta Oeste,1173332.70145,0,0.32206995327590104,0
1876,Paraiso,15/11/2011 13:21,Medio (4 - 8 mts),38.0,Mediano,-68.8608554736,-32.870279883,7,Residencial Parque,1786336.08966,0,0.33361748960344695,0
23900,Pltano,28/02/2012 12:19,Alto (> 8 mts),210.0,Grande,-68.8517064819,-32.8995279117,2,Barrio Civico,2366816.36021,0,0.4710959410050849,0
8817,Morera,01/02/2011 13:25,Alto (> 8 mts),155.0,Grande,-68.8545835459,-32.8676474463,6,Residencial Norte,2694682.37982,0,0.5592867433634133,1
36607,Pltano,15/06/2011 13:39,Medio (4 - 8 mts),130.0,Grande,-68.8571528423,-32.8828335717,5,Residencial Sur,2423808.92355,0,0.10144805276364244,0
12815,Fresno europeo,20/01/2011 12:51,Medio (4 - 8 mts),100.0,Grande,-68.8470749144,-32.8638452547,4,Cuarta Oeste,1173332.70145,0,0.3438273355412186,0
44615,Morera,26/08/2011 07:59,Alto (> 8 mts),150.0,Grande,-68.8228873783,-32.8672179401,4,Cuarta Este Área Fundacional,1822015.85685,0,0.3472806815471935,0
43782,Morera,19/10/2011 08:47,Medio (4 - 8 mts),170.0,Grande,-68.8323609515,-32.8814728027,3,Parque O'Higgins,1531146.02653,0,0.6383699272972564,1
